ID,Title,Runtime,Rating,Votes,MPAA,ReleaseDate,Year,Month,Day,Budget,Opening Weekend,Cumulative Gross,IsDc,IsMarvel,Cast1,Cast2,Cast3,Cast4,Cast5,Director1,Director2,Director3,Director4,Director5,Producer1,Producer2,Producer3,Producer4,Producer5,Company1,Company2,Company3,Company4,Company5
7286456,Joker,121,9.4,16172,R,8/31/2019 0:00,2019,8,31,55000000,,,1,,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Jolie Chan,Marc Maron,Todd Phillips,,,,,Richard Baratta,Bruce Berman,Jason Cloth,Bradley Cooper,Joseph Garner,BRON Studios,Creative Wealth Media Finance,DC Comics,DC Entertainment,Joint Effort
6320628,Spider-Man: Far from Home,129,7.7,193320,PG-13,6/26/2019 0:00,2019,6,26,160000000,92579212,1096950062,,1,Tom Holland,Samuel L. Jackson,Jake Gyllenhaal,Marisa Tomei,Jon Favreau,Jon Watts,,,,,Victoria Alonso,Avi Arad,Chris Buongiorno,Eric Hauserman Carroll,Louis D'Esposito,Columbia Pictures,Pascal Pictures,Marvel Studios,,
4154796,Avengers: Endgame,181,8.6,564826,PG-13,4/22/2019 0:00,2019,4,22,356000000,357115007,2796274401,,1,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson,Anthony Russo,Joe Russo,,,,Victoria Alonso,Mitchell Bell,Ari Costa,Louis D'Esposito,Jon Favreau,Marvel Studios,,,,
6565702,Dark Phoenix,113,5.8,92997,PG-13,6/5/2019 0:00,2019,6,5,200000000,32828348,252442974,,1,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,Sophie Turner,Simon Kinberg,,,,,Daniel Auclair,Todd Hallowell,Justin Haut,Simon Kinberg,Stan Lee,Twentieth Century Fox,Bad Hat Harry Productions,Donners' Company,Kinberg Genre,Marvel Entertainment
1477834,Aquaman,143,7,299051,PG-13,11/26/2018 0:00,2018,11,26,160000000,72573522,1147961807,1,,Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson,Nicole Kidman,James Wan,,,,,Khadija Alami,Jon Berg,Rob Cowan,Walter Hamada,Geoff Johns,DC Comics,DC Entertainment,Panoramic Pictures,Rodeo FX,The Safran Company
468569,The Dark Knight,152,9,2102542,TV-14::(LV),7/14/2008 0:00,2008,7,14,185000000,158411483,1004558444,1,,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal,Christopher Nolan,,,,,Kevin De La Noy,Jordan Goldberg,Philip Lee,Benjamin Melniker,Christopher Nolan,Warner Bros.,Legendary Entertainment,Syncopy,DC Comics,
4633694,Spider-Man: Into the Spider-Verse,117,8.4,261046,PG,12/6/2018 0:00,2018,12,6,90000000,35363376,375540831,,1,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Brian Tyree Henry,Bob Persichetti,Peter Ramsey,Rodney Rothman,,,Will Allegra,Avi Arad,Brian Michael Bendis,Theresa Bentz,Christian Hejnal,Sony Pictures Entertainment,Columbia Pictures,Marvel Entertainment,Avi Arad Productions,Lord Miller
1386697,Suicide Squad,123,6,546279,TV-14,8/1/2016 0:00,2016,8,1,175000000,133682248,746846894,1,,Will Smith,Jaime FitzSimons,Ike Barinholtz,Margot Robbie,Christopher Dyson,David Ayer,,,,,Bruce Franklin,Andy Horwitz,Geoff Johns,Steven Mnuchin,Alex Ott,Atlas Entertainment,DC Comics,DC Entertainment,Dune Entertainment,Warner Bros.
7752126,Brightburn,90,6.2,45882,R,5/9/2019 0:00,2019,5,9,7000000,7845658,26721148,,,Elizabeth Banks,David Denman,Jackson A. Dunn,Abraham Clinkscales,Christian Finlayson,David Yarovesky,,,,,Dan Clifton,Nic Crawley,David Gendron,Tessie Groff,Brian Gunn,Sony Pictures Worldwide Acquisitions,The H Collective,Troll Court Entertainment,,
448115,Shazam!,132,7.1,181011,PG-13,3/25/2019 0:00,2019,3,25,100000000,53505326,364293925,1,,Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer,Adam Brody,David F. Sandberg,,,,,Richard Brener,Jeffrey Chernov,Dany Garcia,Hiram Garcia,Christopher Godsick,Warner Bros.,DC Entertainment,DC Comics,New Line Cinema,Seven Bucks Productions
